time,dev_eui,temperature
2023-05-25 02:34:09.112+00,647fda000000aa92,22.9
2023-05-25 02:49:09.112+00,647fda000000aa92,22.8
2023-05-25 03:04:09.111+00,647fda000000aa92,22.8
2023-05-25 03:19:09.11+00,647fda000000aa92,22.7
2023-05-25 03:34:09.108+00,647fda000000aa92,22.8
2023-05-25 03:49:09.108+00,647fda000000aa92,22.8
2023-05-25 04:04:09.106+00,647fda000000aa92,22.7
2023-05-25 04:19:09.112+00,647fda000000aa92,22.7
2023-05-25 04:49:09.104+00,647fda000000aa92,22.7
2023-05-25 05:04:09.104+00,647fda000000aa92,22.7
2023-05-25 05:19:09.104+00,647fda000000aa92,22.8
2023-05-25 05:34:09.102+00,647fda000000aa92,22.8
2023-05-25 05:49:09.102+00,647fda000000aa92,22.8
2023-05-25 06:04:09.101+00,647fda000000aa92,22.8
2023-05-25 06:34:09.1+00,647fda000000aa92,22.9
2023-05-25 06:49:09.104+00,647fda000000aa92,23.0
2023-05-25 07:04:09.099+00,647fda000000aa92,23.3
2023-05-25 07:19:09.098+00,647fda000000aa92,23.6
2023-05-25 07:34:09.097+00,647fda000000aa92,23.8
2023-05-25 07:49:09.096+00,647fda000000aa92,24.1
2023-05-25 08:04:09.095+00,647fda000000aa92,24.3
2023-05-25 08:19:09.095+00,647fda000000aa92,24.4
2023-05-25 08:34:09.094+00,647fda000000aa92,24.5
2023-05-25 08:49:09.093+00,647fda000000aa92,24.5
2023-05-25 09:19:09.091824+00,647fda000000aa92,24.6
2023-05-25 09:34:09.094141+00,647fda000000aa92,24.4
2023-05-25 09:49:09.087+00,647fda000000aa92,24.3
2023-05-25 10:04:09.086+00,647fda000000aa92,24.2
2023-05-25 10:19:09.085+00,647fda000000aa92,24.1
2023-05-25 10:34:09.084+00,647fda000000aa92,24.0
2023-05-25 10:49:09.086802+00,647fda000000aa92,24.0
2023-05-25 11:04:09.082+00,647fda000000aa92,24.0
2023-05-25 11:19:09.081+00,647fda000000aa92,23.9
2023-05-25 11:34:09.08+00,647fda000000aa92,23.8
2023-05-25 11:49:09.087+00,647fda000000aa92,23.8
2023-05-25 12:04:09.084574+00,647fda000000aa92,23.8
2023-05-25 12:19:09.084+00,647fda000000aa92,23.7
2023-05-25 12:49:09.078+00,647fda000000aa92,23.5
2023-05-25 13:19:16.295+00,647fda000000aa92,23.4
2023-05-25 13:49:09.075+00,647fda000000aa92,23.7
2023-05-25 14:04:09.073+00,647fda000000aa92,23.8
2023-05-25 14:19:12.078+00,647fda000000aa92,23.8
2023-05-25 14:34:09.071+00,647fda000000aa92,24.0
2023-05-25 14:49:09.07+00,647fda000000aa92,24.1
2023-05-25 15:04:09.069+00,647fda000000aa92,24.1
2023-05-25 15:19:09.069+00,647fda000000aa92,24.2
2023-05-25 15:34:09.068+00,647fda000000aa92,24.2
2023-05-25 15:49:09.067+00,647fda000000aa92,24.2
2023-05-25 16:04:09.066+00,647fda000000aa92,24.3
2023-05-25 16:19:12.071+00,647fda000000aa92,24.3
2023-05-25 16:34:09.064+00,647fda000000aa92,24.2
2023-05-25 16:49:09.062+00,647fda000000aa92,24.2
2023-05-25 17:04:09.061+00,647fda000000aa92,24.2
2023-05-25 17:19:09.06+00,647fda000000aa92,24.2
2023-05-25 17:34:12.065+00,647fda000000aa92,24.1
2023-05-25 17:49:09.058+00,647fda000000aa92,24.1
2023-05-25 18:04:09.057+00,647fda000000aa92,24.1
2023-05-25 18:19:12.063+00,647fda000000aa92,24.1
2023-05-25 18:34:09.056+00,647fda000000aa92,24.0
2023-05-25 18:49:09.061+00,647fda000000aa92,24.0
2023-05-25 19:04:09.059+00,647fda000000aa92,24.0
2023-05-25 19:19:09.054+00,647fda000000aa92,23.9
2023-05-25 19:34:09.053+00,647fda000000aa92,23.9
2023-05-25 19:49:09.052+00,647fda000000aa92,23.8
2023-05-25 20:04:09.051+00,647fda000000aa92,23.8
2023-05-25 20:19:09.05+00,647fda000000aa92,23.8
2023-05-25 20:34:09.049+00,647fda000000aa92,23.7
2023-05-25 20:49:09.048+00,647fda000000aa92,23.8
2023-05-25 21:04:09.048+00,647fda000000aa92,23.7
2023-05-25 21:19:09.047+00,647fda000000aa92,23.6
2023-05-25 21:34:09.046+00,647fda000000aa92,23.7
2023-05-25 22:04:09.044+00,647fda000000aa92,23.5
2023-05-25 22:19:09.044+00,647fda000000aa92,23.5
2023-05-25 22:34:09.043+00,647fda000000aa92,23.5
2023-05-25 22:49:09.041+00,647fda000000aa92,23.4
2023-05-25 23:04:09.041+00,647fda000000aa92,23.4
2023-05-25 23:19:09.041+00,647fda000000aa92,23.4
2023-05-26 00:04:09.039+00,647fda000000aa92,23.3
2023-05-26 00:19:09.043+00,647fda000000aa92,23.3
2023-05-26 00:34:09.043+00,647fda000000aa92,23.2
2023-05-26 00:49:09.037+00,647fda000000aa92,23.2
2023-05-26 01:04:09.036+00,647fda000000aa92,23.2
2023-05-26 01:19:09.035+00,647fda000000aa92,23.2
2023-05-26 01:34:09.034+00,647fda000000aa92,23.1
2023-05-26 01:49:09.034+00,647fda000000aa92,23.1
2023-05-26 02:04:09.033+00,647fda000000aa92,23.1
2023-05-26 02:19:09.032+00,647fda000000aa92,23.1
2023-05-26 02:34:09.031+00,647fda000000aa92,23.0
2023-05-26 02:49:09.031+00,647fda000000aa92,23.0
2023-05-26 03:04:09.031+00,647fda000000aa92,23.0
2023-05-26 03:19:09.029+00,647fda000000aa92,23.0
2023-05-26 03:34:09.028+00,647fda000000aa92,23.0
2023-05-26 03:49:09.027+00,647fda000000aa92,22.9
2023-05-26 04:04:09.026+00,647fda000000aa92,22.9
2023-05-26 04:19:12.032+00,647fda000000aa92,22.9
2023-05-26 04:34:09.025+00,647fda000000aa92,22.9
2023-05-26 04:49:09.024+00,647fda000000aa92,22.9
2023-05-26 05:04:12.035+00,647fda000000aa92,22.9
2023-05-26 05:19:09.028+00,647fda000000aa92,22.8
2023-05-26 05:34:09.022+00,647fda000000aa92,22.9
2023-05-26 05:49:09.021+00,647fda000000aa92,22.9
2023-05-26 06:04:09.02+00,647fda000000aa92,22.9
2023-05-27 12:49:08.936+00,647fda000000aa92,24.1
2023-05-26 06:19:09.02+00,647fda000000aa92,23.0
2023-05-26 06:34:09.019+00,647fda000000aa92,23.0
2023-05-26 06:49:09.019+00,647fda000000aa92,23.1
2023-05-26 07:04:09.018+00,647fda000000aa92,23.1
2023-05-26 07:19:09.017+00,647fda000000aa92,23.1
2023-05-26 07:34:09.017+00,647fda000000aa92,23.2
2023-05-26 07:49:09.015+00,647fda000000aa92,23.2
2023-05-26 08:04:09.015+00,647fda000000aa92,23.3
2023-05-26 08:19:09.014+00,647fda000000aa92,23.3
2023-05-26 08:34:09.013+00,647fda000000aa92,23.4
2023-05-26 08:49:09.013+00,647fda000000aa92,23.4
2023-05-26 09:19:09.012+00,647fda000000aa92,23.6
2023-05-26 09:34:09.01+00,647fda000000aa92,23.6
2023-05-26 09:49:09.01+00,647fda000000aa92,23.6
2023-05-26 10:04:09.009+00,647fda000000aa92,23.7
2023-05-26 10:19:09.009+00,647fda000000aa92,23.7
